#,单词,音标,解释,笔记
355,"posterior","英:/pɒ'stɪərɪə/ 美:/pɑ'stɪrɪɚ/","- adj.  (时间上)较晚的,在后的,(次序上)其次的
- 后面的,尾部的
- n. 身体后部,臀部

副 词:  
posteriorly",
356,"antecede","英:/ˌæntɪ'siːd/ 美:/ˌæntɪˈsid/","vt. 在...之前；胜过；居前


时 态:  
anteceded, anteceding, antecedes",
357,"antecedents","","noun,

adjective


 ante·ce·dentBrE /ˌæntɪˈsiːdnt/NAmE /ˌæntɪˈsiːdnt/ noun [C] (formal) a thing or an event that exists or comes before another, and may have influenced it 前事；前情antecedents  [pl.] (formal) the people in sb's family who lived a long time ago 祖先；先人 SYN ancestor, forebear  [C] (grammar 语法) a word or phrase to which the following word, especially a pronoun, refers 先行词；先行语◆In 'He grabbed the ball and threw it in the air', 'ball' is the antecedent of 'it'.  在 He grabbed the ball and threw it in the air 一句中，ball 是 it 的先行词。🔊🔊

 ante·ce·dentBrE /ˌæntɪˈsiːdnt/NAmE /ˌæntɪˈsiːdnt/ adjective(formal) previous 先前的◆antecedent events先前的事件",
358,"dignitary","英:/'dɪgnɪt(ə)rɪ/ 美:/'dɪɡnɪtɛri/","n. 显要人物;权贵",
359,"disrepute","英:/ˌdɪsrɪ'pjuːt/ 美:/ˌdɪsrɪ'pjut/","n. 丧失名誉, 坏名声",
360,"proverbially","英:/prə'və:biəli/ 美:/prəˈvə..bɪəlɪ/","adv. 人尽皆知地",
361,"fortuitous","英:/fɔː'tjuːɪtəs/ 美:/fɔr'tuɪtəs/","adj. 偶然发生的,偶然的",
362,"suffuse","英:/sə'fjuːz/ 美:/sə'fjuz/","vt. 充满；弥漫


时 态:  
suffused, suffusing, suffuses 

名 词:  
suffusion

形容词:  
suffusive",
363,"escapade","英:/'eskəpeɪd/ 美:/ˌɛskə'ped/","n. 恶作剧, 越轨行为, 冒险行为",
364,"fraternity","英:/frə'tɜːnɪtɪ/ 美:/frə'tɝnəti/","- n. 同业工人，行会；兄弟会
- (美国男学生的)大学联谊会
- 〈正〉兄弟关系；友爱，博爱",
365,"heterogeneous","英:/ˌhetərəˈdʒiːniəs/ 美:/ˌhetərəˈdʒiːniəs/","- adj. 由很多种类组成的；各种各样的",
366,"homogeneous","英:/ˌhɒmə(ʊ)'dʒiːnɪəs/ 美:/ˌhomə'dʒinɪəs/","adj. 同性质的, 同类的

名 词:  
homogeneousness",
367,"sundry","英:/'sʌndrɪ/ 美:/'sʌndri/","- adj. 杂的；各式各样的
- n. 杂货；杂项",
368,"variegate","英:/'veərɪəɡeɪt/ 美:/'vɛrɪ,get/","vt. 使成斑驳,使多样化

时 态:  
variegated, variegating, variegates",
369,"injurious","英:/ɪn'dʒʊərɪəs/ 美:/ɪn'dʒʊrərɪəs/","- adj. 伤害的
- 中伤的
- 不公正的

副 词:  
injuriously",
370,"pestilent","英:/'pestɪl(ə)nt/ 美:/ˈpɛstələnt/","- adj. 致命的,致死的
- 有害的,危害社会的,伤风败俗的",
371,"expedient","英:/ɪk'spiːdɪənt/ 美:/ɪk'spidɪənt/","adj. 应急有效的;权宜之计的

副 词:  
expediently",
372,"makeshift","英:/'meɪkʃɪft/ 美:/ˈmeɪkʃɪft/","n. 权宜之计, 临时代用的物品",
373,"superlative","英:/suː'pɜːlətɪv/ 美:/su'pɝlətɪv/","- adj. 最高级的
- 最好的;最优秀的
- n. (形容词或副词的)最高级(形式)
- 最高级形容词或副词

副 词:  
superlatively",
374,"unaffected","英:/ʌnə'fektɪd/ 美:/ˌʌnə'fɛktɪd/","- adj. 不受影响的;没有改变的
- 自然的;不矫揉造作的

副 词:  
unaffectedly",
375,"veritable","英:/'verɪtəb(ə)l/ 美:/'vɛrɪtəbl/","adj. 真正的，名副其实的


副 词:  
veritably",
376,"prim","英:/prɪm/ 美:/prɪm/","- adj. 拘谨的；整洁的；呆板的
- vt. 使显得一本正经；把…打扮得整整齐齐
- vi. 显得一本正经


比较级:  
primmer, primmest 

副 词:  
primly

名 词:  
primness",
377,"collation","英:/kə'leɪʃ(ə)n/ 美:/kəˈleʃən/","- n. 核对，校勘；考订，对照
- 冷食小吃，便餐",
378,"brunt","英:/brʌnt/ 美:/brʌnt/","n. 冲击；主要冲力",
379,"earthshaking","英:/'ɜːθ,ʃeɪkɪŋ/ 美:/'ɝθʃekɪŋ/","adj. 震撼全球的,极为重大的,翻天覆地的",
380,"staple","英:/'steɪp(ə)l/ 美:/'stepl/","- n. 主要产品；钉书钉；主题；主食
- vt. 用钉书钉钉住；把……分级
- adj.主要的，大宗生产的；常用的；纺织纤维的

时 态:  
stapled, stapling, staples",
381,"substantive","英:/səbˈstæntɪv/ 美:/ˈsʌbstəntɪv/","- adj. 真的，真实的，实在的，实际的
- (军衔)永久的；非临时的
- adv. 真实地
- n. 真实

副 词:  
substantively",
382,"substratum","英:/sʌb'strɑːtəm/ 美:/'sʌbstretəm/","n. 底层,下层",
383,"refulgent","英:/rɪ'fʌldʒ(ə)nt/ 美:/rɪ'fʌldʒənt/","adj. 光辉的,辉煌的",
384,"squalor","英:/ˈskwɔlə/ 美:/'skwɔlɚ/","n. 肮脏；悲惨；卑劣；道德败坏",
385,"pageant","英:/'pædʒ(ə)nt/ 美:/'pædʒənt/","n. 盛会；虚饰；游行；露天表演",
386,"pageantry","英:/'pædʒ(ə)ntrɪ/ 美:/ˈpædʒəntri/","n. 壮丽的展示，盛况；正规庆典的传统特征",
387,"pomp","英:/pɒmp/ 美:/pɑmp/","n. 盛况；壮丽；夸耀；浮华",
388,"comport","英:/kəm'pɔːt/ 美:/kəmˈpɔrt/","- vt. 行为；举动
- vi. 相称；适合；一致


时 态:  
comported, comporting, comports",
389,"comportment","英:/kəm'pɔːtm(ə)nt/ 美:/kəm'pɔrtmənt/","n. 举动;态度;习惯;风度",
390,"demeanor","英:/di'mi:nə/ 美:/dɪˈminɚ/","n. 行为；举止；风度",
391,"deportment","英:/dɪ'pɔːtm(ə)nt/ 美:/dɪ'pɔrtmənt/","n. 举止;风度;仪态",
392,"mien","英:/miːn/ 美:/min/","n. 态度；风采；样子",
393,"bourgeois","英:/'bʊəʒwɑː/ 美:/ˌbʊr'ʒwɑ/","- adj. 资产阶级的
- n. 资产阶级分子",
394,"magisterial","英:/ˌmædʒɪ'stɪərɪəl/ 美:/ˌmædʒɪ'stɪrɪəl/","- adj. 有权威的,威严的,专断的
- 地方法官的,地方法官办的
- 硕士的
- adv. 威严地",
395,"regal","英:/'riːg(ə)l/ 美:/ˈriɡəl/","adj. 华丽的, 堂皇的
REGALabbr. Range Elevation Guidance for Approach and Landing 进场和着陆的距离仰角导航

名 词:  
regality

副 词:  
regally",
396,"arbiter","英:/'ɑːbɪtə/ 美:/'ɑrbɪtɚ/","n. 仲裁者；裁决人",
397,"hyperactivity","/ˌhaɪpəræk'tɪvəti/","n. 活动过度,极度活跃",
398,"lusty","英:/'lʌstɪ/ 美:/'lʌsti/","adj. 精力充沛的；健壮的


比较级:  
lustier, lustiest 

副 词:  
lustily

名 词:  
lustiness",
399,"mettlesome","英:/'metls(ə)m/ 美:/ˈmɛtl..səm/","adj. (通常指马等)精力充沛的，勇猛的",
400,"snappy","英:/'snæpɪ/ 美:/'snæpi/","- adj. 迅速的；敏捷的
- 漂亮的；时髦的
- (用于催促)赶紧，快点
- adv. 漂亮地；时髦地
- n. 漂亮；时髦

比较级:  
snappier，snappiest",
401,"psyche","英:/ˈpsaiki/ 美:/ˈsaɪki/","n. 灵魂；心智

Psychen. 灵魂,心灵,精神",
402,"visceral","英:/'vɪs(ə)r(ə)l/ 美:/'vɪsərəl/","adj. 内脏的；出于本能的；发自肺腑的；粗俗的",
403,"callous","英:/'kæləs/ 美:/'kæləs/","- adj. 起老茧的；无情的；硬结的；麻木的
- vt. 使硬结；使生茧；使冷酷无情
- vi. 变得冷酷无情；结茧；变硬
- n. 硬皮；老茧


时 态:  
calloused, callousing, callouses",
404,"hard-boiled","英:/'hɑ:d'bɔild/ 美:/ˈhɑrdˈbɔɪld/","- adj. (鸡蛋)煮得老的
- (指人)不动感情的, 冷酷的; 久经世故的",
405,"forte","英:/'fɔːteɪ/ 美:/fɔrt/","- n. 长处；特长
- adj. 强音的；响的
- adv. 响亮地",
406,"ineptitude","英:/ɪ'neptɪtjuːd/ 美:/ɪ'nɛptə'tʊd/","- n. 不合适,不适当
- 笨拙,愚笨",
407,"omnipotent","英:/ɒm'nɪpət(ə)nt/ 美:/ɑm'nɪpətənt/","adj. 全能的；无所不能的；有无限权力的",
408,"contrivance","英:/kən'traɪv(ə)ns/ 美:/kən'traɪvəns/","n. 发明,发明才能,想出的办法,发明物",
409,"legerdemain","英:/ˌledʒədɪ'meɪn/ 美:/'lɛdʒɚdəmen/","- n. 手法，戏法
- 花招，诡辩；诈术",
410,"senility","英:/si'niləti/ 美:/sɪˈnɪlɪti/","n. 衰老的状态",
411,"senile","英:/'siːnaɪl/ 美:/'sinaɪl/","adj. 老衰的；高龄的；高龄所致的",
412,"superannuated","英:/suːpə'rænjʊeɪtɪd/ 美:/ˌsjupɚˈænjuˌetɪd/","- adj. 领取退休金而退休的
- 落伍的;废弃的",
413,"unimpassioned","英:/ʌnɪm'pæʃ(ə)nd/ 美:/ˌʌnɪmˈpæʃənd/","adj. 没有激情的,不感情用事的,平静的",
414,"filial","英:/'fɪlɪəl/ 美:/'fɪlɪəl/","- adj. 子女的
- adv. 子女地

副 词:  
filially",
415,"ardent","英:/'ɑːd(ə)nt/ 美:/'ɑrdnt/","adj. 热情的；热心的；激烈的；燃烧般的


名 词:  
ardency

副 词:  
ardently",
416,"avidity","英:/ə'vidəti/ 美:/əˈvɪdɪti/","n. 热望，贪欲；[化]活动性",
417,"perfervid","英:/pə'fɜːvɪd/ 美:/pɚˈfɚvɪd/","adj. 极其热情的",
418,"regale","英:/rɪ'geɪl/ 美:/rɪ'ɡel/","- vt. 盛情款待
- vi. 享用；享受
- n. 款待


时 态:  
regaled, regaling, regales 

名 词:  
regalement",
419,"zesty","/'zesti/","adj. 兴致很高的",
420,"congenital","英:/kən'dʒenɪt(ə)l/ 美:/kən'dʒɛnɪtl/","adj. 先天的,天生的

副 词:  
congenitally",
421,"flair","英:/fleə/ 美:/flɛr/","n. 天资;天分；眼光;才华",
422,"immanent","英:/'ɪmənənt/ 美:/'ɪmənənt/","adj. 内在的；固有的",
423,"inborn","英:/'ɪnbɔːn/ 美:/ˌɪn'bɔrn/","adj. 天生的；先天的",
424,"auspice","英:/'ɔːspɪs/ 美:/'ɔspɪs/","n. 赞助，主办；吉兆",
425,"craving","英:/'kreɪvɪŋ/ 美:/'krevɪŋ/","n. 渴望;渴求",
426,"hankering","/'hæŋk(ə)rɪŋ/","n. 渴望",
427,"fealty","英:/'fiːəltɪ/ 美:/ˈfiəlti/","n. 忠实；忠诚",
428,"guileless","英:/'gaɪllɪs/ 美:/ˈɡaɪllɪs/","adj. 不狡猾的;诚实的",
429,"aplomb","英:/ə'plɒm/ 美:/ə'plɑm/","n. 自信；沉着；泰然自若",
430,"bland","英:/blænd/ 美:/blænd/","- adj. 乏味的；冷漠的；温和的
- vt. 使…变得淡而无味；除掉…的特性
- vi. 变得平淡无奇；丧失特性


比较级:  
blander, blandest 

副 词:  
blandly

名 词:  
blandness",
431,"composure","英:/kəm'pəʊʒə/ 美:/kəmˈpoʒɚ/","n. 镇静, 沉着",
432,"leisureliness","","n. 悠然,从容",
433,"nonchalance","英:/'nɒnʃ(ə)l(ə)ns/ 美:/ˌnɑnʃəˈlɑns/","n. 漠不关心,无动于衷,冷淡",
434,"sangfroid","英:/sɑŋ'frwɑ/ 美:/sɑŋˈfrwɑ/","n. 冷静;沉着;镇定",
435,"staid","英:/steɪd/ 美:/sted/","adj. 固定的；沉着的；沉静的


副 词:  
staidly

名 词:  
staidness",
436,"unflappable","英:/ʌn'flæpəb(ə)l/ 美:/ˌʌn'flæpəbl/","adj. 不易惊慌的,镇定的

名 词:  
unflappability

副 词:  
unflappably",
437,"acumen","英:/'ækjʊmən/ 美:/əˈkjumən/","n. 聪明，敏锐",
438,"adroit","英:/ə'drɒɪt/ 美:/ə'drɔɪt/","adj. 敏捷的，灵巧的；熟练的


副 词:  
adroitly",
439,"ambidextrous","英:/ˌæmbɪ'dekstrəs/ 美:/'æmbə'dɛkstrəs/","- adj. 左右手都灵的
- 搞两面派的
- 非常灵巧的；非常熟练的

副 词:  
ambidextrously",
440,"astute","英:/ə'stjuːt/ 美:/ə'stut/","- adj. 机敏的,精明的,狡猾的
- adv. 敏锐地,精明地
- n. 敏锐,精明

副 词:  
astutely

名 词:  
astuteness",
441,"expeditious","英:/ˌekspɪ'dɪʃəs/ 美:/ˌɛkspə'dɪʃəs/","adj. 迅速而有效率的,迅速完成的

副 词:  
expeditiously

名 词:  
expeditiousness",
442,"hardheaded","英:/'hɑːd'hedɪd/ 美:/ˈhɑrdˈhɛdɪd/","- adj. (尤指在做生意时)精明的，讲究实际的；不感情用事的
- 愚蠢的；顽固的，固执的",
443,"ingenuity","英:/ˌɪndʒəˈnjuːəti// 美:/ˌɪndʒəˈnjuːət̬i/","n. 足智多谋, 心灵手巧",
444,"nimble","英:/'nɪmb(ə)l/ 美:/'nɪmbl/","adj. 灵活的，敏捷的，聪明的；机智的

比较级:  
nimbler，nimblest 

副 词:  
nimbly",
445,"outfox","英:/aʊt'fɒks/ 美:/ˌaʊt'fɑks/","vt. 以计取胜；以机智胜过

Outfox环草津

时 态:  
outfoxed, outfoxing, outfoxes",
446,"sagacity","英:/sə'gæsɪtɪ/ 美:/sə'gæsəti/","n. 睿智；聪敏；有远见",
447,"sleight","英:/slaɪt/ 美:/slaɪt/","n. 熟练，灵巧；手法，技巧；诡计",
448,"virtuosity","英:/ˌvɜːtʃʊ'ɒsɪtɪ/ 美:/ˌvɝtʃu'ɑsəti/","- n. (在美术、音乐等方面的)精湛技艺
- 对艺术品(或古董等)的爱好
- (总称)艺术爱好者;古董收藏家",
449,"efficacy","英:/'efɪkəsɪ/ 美:/'ɛfɪkəsi/","n. 效力,效能",
450,"effectual","英:/ɪ'fektʃʊəl/ 美:/ɪˈfɛktʃuəl/","adj. 奏效的, 收效的

副 词:  
effectually",
451,"amity","英:/'æmɪtɪ/ 美:/'æməti/","n. 友好；亲善关系；友好关系",
452,"fraternal","英:/frə'tɜːn(ə)l/ 美:/frə'tɝnl/","- adj. 兄弟的,兄弟般的
- 友好的,同志般的",
453,"leniency","英:/ˈli:ni:ənsi:/ 美:/'linjənsi/","n. 宽大;仁慈",
454,"subdued","英:/səbˈdju:d/ 美:/səb'dud/","- adj. 不太响亮、强烈、显著等的,缓和的,有节制的
- 不大兴奋、不甚感兴趣等的",
455,"geniality","英:/ˌdʒi:ni'æləti/ 美:/ˌd ʒinəˈælətɪ/","n. 和蔼,亲切,友好",
456,"enliven","英:/ɪn'laɪv(ə)n/ 美:/ɪn'laɪvən/","vt. 使活泼；使生动；使有生气，使活跃


时 态:  
enlivened, enlivening, enlivens",
457,"perky","英:/'pɜːkɪ/ 美:/'pɝki/","adj. 得意洋洋的；自信的；神气的；活泼的


比较级:  
perkier, perkiest 

副 词:  
perkily",
458,"spry","英:/spraɪ/ 美:/spraɪ/","adj. (指老年人)活跃的,敏捷的

比较级:  
sprier , spryer 
spriest , spryest",
459,"hardbitten","/ˌhɑrd'bɪtn/","adj. 顽强的; 坚韧的",
460,"chaste","英:/tʃeɪst/ 美:/tʃest/","adj. 贞洁的；有道德的；纯洁的；朴素的


比较级:  
chaster, chastest 

副 词:  
chastely

名 词:  
chasteness",
461,"chastity","英:/'tʃæstɪtɪ/ 美:/'tʃæstəti/","n. 纯洁；贞洁；简洁",
462,"cogitate","英:/'kɒdʒɪteɪt/ 美:/ˈkɑdʒɪˌtet/","- vt. 仔细考虑；谋划
- vi. 思考；考虑


时 态:  
cogitated, cogitating, cogitates 

名 词:  
cogitator",
463,"conscience","英:/'kɒnʃ(ə)ns/ 美:/'kɑnʃəns/","n. 良心

形容词:  
conscienceless",
464,"conscientious","英:/ˌkɒnʃɪ'enʃəs/ 美:/'kɑnʃɪ'ɛnʃəs/","adj. 认真的, 勤奋的

副 词:  
conscientiously

名 词:  
conscientiousness",
465,"prudery","英:/'pruːdərɪ/ 美:/'prudəri/","n. 假正经的行为；过分拘谨的言行",
466,"bounteous","英:/'baʊntɪəs/ 美:/'baʊntɪəs/","- adj. 大方的,慷慨的
- 丰富的,充足的

副 词:  
bounteously",
467,"impassioned","英:/ɪm'pæʃ(ə)nd/ 美:/ɪm'pæʃnd/","adj. 充满激情的, 热烈的",
468,"liberality","英:/lɪbə'rælɪtɪ/ 美:/ˌlɪbə'ræləti/","- n. 慷慨(礼物),大方
- 宽容,开朗",
469,"magnanimity","英:/mægnə'nɪmɪtɪ/ 美:/ˌmæɡnə'nɪmɪti/","n. 宽宏大量",
470,"magnanimous","英:/mæg'nænɪməs/ 美:/mæɡ'nænɪməs/","adj. 宽宏大量的,有雅量的",
471,"ungrudging","英:/ʌn'grʌdʒɪŋ/ 美:/ʌn'grʌdʒɪŋ/","adj. 慷慨的,情愿的",
472,"unstinting","英:/ʌn'stɪntɪŋ/ 美:/ʌnˈstɪntɪŋ/","adj. 极为慷慨的, 大方的

副 词:  
unstintingly",
473,"bounty","英:/'baʊntɪ/ 美:/'baʊnti/","- n. (由政府提供的)奖金, 赏金
- 慷慨, 大方",
474,"bountiful","英:/'baʊntɪfʊl/ 美:/'baʊntɪfl/","邦蒂富尔(美国犹他州中北部一城市, 盐湖城的郊区住宅区。人口32, 877)
bountiful
- adj. 慷慨给予的
- 丰富的,充裕的

副 词:  
bountifully",
475,"ornate","英:/ɔː'neɪt/ 美:/ɔr'net/","adj. 华丽的；装饰的；（文体）绚丽的


副 词:  
ornately

名 词:  
ornateness",
476,"seraphic","/si'ræfik/","- adj. ①天使般美丽〔纯洁等〕的
- 无比快乐的",
477,"celerity","英:/sɪ'lerɪtɪ/ 美:/sə'lɛrəti/","n. 敏捷；快速",
478,"acuity","英:/ə'kjuːɪtɪ/ 美:/ə'kjuəti/","n. 尖锐；敏锐；剧烈",
479,"clairvoyance","英:/kleə'vɒɪəns/ 美:/klɛr'vɔɪəns/","n. 千里眼；异常的洞察力",
480,"unassuming","英:/ʌnə'sjuːmɪŋ/ 美:/'ʌnə'sʊmɪŋ/","adj. 谦逊的;不装腔作势的;不招摇的",
481,"sedulity","/sɪ'djuːlɪtɪ/","n. 勤奋",
482,"lucubration","英:/ˌluːkjʊ'breɪʃ(ə)n/ 美:/ˌlukjʊˈbreʃən/","- n. ①挑灯攻读;钻研
- 文学作品",
483,"exertion","英:/ɪɡ'zɜːʃn/ 美:/ɪɡ'zɝʃən/","n. 努力；发挥；运用",
484,"dapper","英:/'dæpə/ 美:/'dæpɚ/","adj. (尤指男子)整洁漂亮的, 动作敏捷的",
485,"scamper","英:/'skæmpə/ 美:/'skæmpɚ/","vi. 蹦蹦跳跳地跑；惊惶奔跑

时 态:  
scampered，scampering，scampers",
486,"scud","英:/skʌd/ 美:/skʌd/","- n. 疾行；飘飞的云；[俚]飞毛腿
- vi. 疾行；[航]顺风行驶


时 态:  
scudded, scudding, scuds",
487,"scurry","英:/'skʌrɪ/ 美:/'skɝi/","- n. 急跑；短距离赛跑（或赛马）
- vi. 急赶；急跑
- vt. 急赶


时 态:  
scurried, scurrying, scurries",
488,"scutter","英:/'skʌtə/ 美:/ˈskʌtɚ/","- vi. 急跑；疾走
- n. 疾走


时 态:  
scuttered, scuttering, scutters",
489,"scuttle","英:/'skʌt(ə)l/ 美:/'skʌtl/","- n. 天窗；煤桶；筐
- vi. 逃避；急促地跑
- vt. 使船沉没；破坏


时 态:  
scuttled, scuttling, scuttles",
490,"hardihood","英:/'hɑːdɪhʊd/ 美:/'hɑrdɪ,hʊd/","n. 大胆,刚毅",
491,"spunk","英:/spʌŋk/ 美:/spʌŋk/","- n. [口]勇气；[口]精神；引火柴；（苏格兰）怒意
- vt. 鼓起勇气
- vi. （苏格兰）发怒",
492,"valorous","英:/'vælərəs/ 美:/ˈvælərəs/","adj. 勇敢的,勇武的,无畏的

副 词:  
valorously",
493,"disingenuous","英:/ˌdɪsɪn'dʒenjʊəs/ 美:/ˌdɪsɪn'dʒɛnjuəs/","adj. 不真诚的；不坦率的

副 词:  
disingenuously",
494,"diffident","英:/'dɪfɪd(ə)nt/ 美:/'dɪfɪdənt/","- adj. 缺乏自信的,露出怯态的
- adv. 胆怯地,踌躇地

副 词:  
diffidently",
495,"diffidence","英:/'dɪfɪd(ə)ns/ 美:/ˈdɪfɪdəns/","n. 缺乏自信",
496,"imperious","英:/ɪm'pɪərɪəs/ 美:/ɪm'pɪrɪəs/","adj. 专横的, 飞扬跋扈的

副 词:  
imperiously",
497,"vainglorious","英:/ˌveɪn'ɡlɔːrɪəs/ 美:/venˈɡlɔriəs/","adj. 非常自负的;虚荣心强的",
498,"consequential","英:/kɒnsɪ'kwenʃ(ə)l/ 美:/'kɑnsə'kwɛnʃəl/","- adj. 作为结果的,间接的
- 重要的

名 词:  
consequentiality

副 词:  
consequentially",
499,"contumely","英:/'kɒntjuːmɪlɪ/ 美:/ˈkɑntuməli/","n. 傲慢;轻侮;侮辱行为;无礼的言行

形容词:  
contumelious",
500,"haughty","英:/'hɔːtɪ/ 美:/'hɔti/","adj. 傲慢的, 目中无人的

比较级:  
haughtier, haughtiest 

副 词:  
haughtily

名 词:  
haughtiness",
501,"headstrong","英:/'hedstrɒŋ/ 美:/'hɛdstrɔŋ/","adj. 任性的,刚愎自用的",
502,"perverse","英:/pə'vɜːs/ 美:/pɚ'vɝs/","- adj. 任性的，固执的
- 错误的，荒谬的；反常的

副 词:  
perversely",
503,"perversity","英:/pə'vɜːsɪtɪ/ 美:/pɚˈvə..sɪti/","- n. 乖僻;倔强;任性；刚愎
- 性变态",
504,"pertness","/'pə:tnis/","n. 没有礼貌；傲慢",
505,"pontifical","英:/pɒn'tɪfɪk(ə)l/ 美:/pɑn'tɪfɪkl/","- adj. 教皇的,大祭司的,主教的
- 傲慢的,武断的",
506,"unscrupulousness","/ʌn'skru:pjuləsnis/","n. 狂妄",
507,"upstage","英:/ʌp'steɪdʒ/ 美:/ˌʌp'stedʒ/","- adv. 向舞台后部；在舞台后部
- 高傲地
- adj. 舞台后部的；在舞台后部的
- 高傲的
- n. 舞台后部
- vt. 抢…镜头；使相形见绌

时 态:  
upstaged，upstaging，upstages",
508,"ignoble","英:/ɪg'nəʊb(ə)l/ 美:/ɪɡ'nobl/","- adj. 卑鄙的, 可耻的
- 出身低微的, 地位低下的

副 词:  
ignobly",
509,"ignominious","英:/ˌɪgnə'mɪnɪəs/ 美:/ˌɪɡnə'mɪnɪəs/","- adj. 耻辱的,屈辱的,丢脸的
- adv. 耻辱地,屈辱地,丢脸地
- n. 耻辱,屈辱,丢脸

副 词:  
ignominiously",
510,"sneaky","英:/'sniːkɪ/ 美:/'sniki/","adj. 鬼祟的,卑鄙的

比较级:  
sneakier, sneakiest 

副 词:  
sneakily",
511,"underhanded","英:/ʌndə'hændɪd/ 美:/'ʌndɚ'hændɪd/","- adj. 秘密的;狡诈的;偷偷摸摸的
- 人手不足的",
512,"vile","英:/vaɪl/ 美:/vaɪl/","adj. 卑鄙的；低廉的；肮脏的；邪恶的


比较级:  
viler, vilest 

副 词:  
vilely

名 词:  
vileness",
513,"currish","英:/'kɜːrɪʃ/ 美:/'kɝɪʃ/","- adj. 杂种狗似的，爱咬人的；脾气坏的
- 无教养的，卑鄙的，可耻的",
514,"mendicant","英:/'mendɪk(ə)nt/ 美:/'mɛndɪkənt/","- adj. 行乞的
-  (指男修士)托钵僧的
- n. 乞丐；托钵僧",
515,"serfdom","/'sɝfdəm/","n. 农奴境遇；农奴身份",
516,"sadistic","英:/sæˈdɪstɪk/ 美:/sæ'dɪstɪk/","adj. 有(性)虐待狂的",
517,"atrocious","英:/ə'trəʊʃəs/ 美:/ə'troʃəs/","- adj. 恶毒的；残忍的；残暴的
- 令人震惊的；骇人听闻的
- 非常恶劣的，糟透的

副 词:  
atrociously",
518,"bestial","英:/'bestɪəl/ 美:/'bɛtʃəl/","- adj. 野蛮的
- 野兽的, 似野兽的

副 词:  
bestially",
519,"gruff","英:/grʌf/ 美:/ɡrʌf/","- adj. 粗暴的；脾气坏的；粗哑的
- vt. 粗鲁地说；生硬地说
- vi. 粗鲁地说；生硬地说话


比较级:  
gruffer, gruffest 

副 词:  
gruffly

名 词:  
gruffness",
520,"rowdy","英:/'raʊdɪ/ 美:/'raʊdi/","- adj. 吵闹的；粗暴的
- n. 粗暴的人；好吵闹的人


名 词:  
rowdyism",
521,"vicious","英:/'vɪʃəs/ 美:/'vɪʃəs/","- adj. 恶的, 邪恶的
- 残酷的, 狠毒的

副 词:  
viciously

名 词:  
viciousness",
522,"bandy","英:/'bændɪ/ 美:/'bændi/","- vt. 吵嘴, 顶嘴
- 传播(谣言、消息等)(常为漫不经心地)

时 态:  
bandied, bandying, bandies",
523,"compulsion","英:/kəm'pʌlʃ(ə)n/ 美:/kəm'pʌlʃən/","- n. 强迫,被迫
- 欲望,冲动,要求",
524,"headlong","英:/'hedlɒŋ/ 美:/'hɛdlɔŋ/","- adv. & adj. 轻率地(的), 仓促地(的)
- 迅猛而失控地(的)",
525,"lowbred","英:/'ləʊ'bred/ 美:/'lo'brɛd/","adj. 未受过好教育的;没礼貌的",
526,"asinine","英:/'æsɪnaɪn/ 美:/'æsɪnaɪn/","adj. 驴的；驴子似的；愚蠢的，固执的

Asinine驴的,驴子一样的",
527,"botch","英:/bɒtʃ/ 美:/bɑtʃ/","- vt. 糟蹋；拙笨地修补；拙劣地拼凑
- vi. 拙笨地修补；弄坏某事物
- n. 难看的补缀；笨拙的修补；笨拙的工作


时 态:  
botched, botching, botches 

名 词:  
botcher

形容词:  
botchy",
528,"bovine","英:/'bəʊvaɪn/ 美:/'bovaɪn/","- adj. 牛的,关于牛的
- 迟钝的,笨拙的
- n. 牛；牛科动物",
529,"bumble","英:/'bʌmb(ə)l/ 美:/'bʌmbl/","- vi. 杂乱无章地说；结结巴巴地说
- 笨拙地进行；踉跄
- 犯错误
- 发出嗡嗡声
- vt. 笨手笨脚地做；搞坏；弄糟
- 笨手笨脚地走动；(在…)跌跌撞撞

时 态:  
bumbled，bumbling，bumbles",
530,"dotage","英:/'dəʊtɪdʒ/ 美:/'dotɪdʒ/","- n. 老年糊涂
- 年老昏聩；年老糊涂",
531,"dote","英:/dəʊt/ 美:/dot/","- vi. 溺爱；昏聩
- vt. 溺爱


时 态:  
doted, doting, dotes 

名 词:  
doter",
532,"fatuity","英:/fə'tjʊ(ː)ɪtɪ/ 美:/fəˈtuɪti/","- n. 愚昧;昏庸
- 愚蠢的言行",
533,"fritter","英:/'frɪtə/ 美:/'frɪtɚ/","- vt. 浪费；细切；剁碎
- n. 细片；屑；带馅油炸面团
- vi. 减少；消散；浪费


时 态:  
frittered, frittering, fritters",
534,"heavy-handedness","","heavy-handedBrE /ˌhevi ˈhændɪd/NAmE /ˌhevi ˈhændɪd/ adjectivenot showing a sympathetic understanding of the feelings of other people 缺乏同情心的；冷酷的◆a heavy-handed approach冷酷无情的方法using unnecessary force 强暴的；高压的◆heavy-handed police methods警察的高压手段(of a person 人) using too much of sth in a way that can cause damage 用某物过多的；大手大脚的◆Don't be too heavy-handed with the salt.  别放太多的盐。🔊🔊",
535,"ham-handed","英:/'hæm'hændid/ 美:/ˈhæm ˌhændɪd/","adj. 笨手笨脚的",
536,"oafish","英:/ˈəʊfɪʃ/ 美:/'ofɪʃ/","adj. 痴呆的；畸形的",
537,"gawkish","/'ɡɔ:kiʃ/","adj. 笨拙的；鲁钝的；痴呆的",
